Student ID,Gender,Age,Current Course,Marks,Absences,Study Hours,Career Interest Level,Career Choice,Soft Skills,Languages Spoken
183,Female,22,Science,57,5,13,8,Accountancy,Leadership,Spanish
184,Male,20,Science,67,1,28,4,Education,Time Management,French
185,Male,19,Economy,72,1,17,7,Computer Science,Adaptability,Spanish
186,Male,21,Science,71,0,18,7,Accountancy,Empathy,Spanish
187,Female,18,Literature,54,4,25,9,Accountancy,Analytical,French
188,Male,23,Science,99,4,20,10,Law,Analytical,Spanish
189,Male,21,Science,40,5,15,6,Law,Negotiation,English
190,Male,23,Science,97,5,11,10,Project Management,Problem-solving,Spanish
191,Female,19,Arts,44,4,14,9,Arts,Communication,Spanish
192,Female,21,Arts,81,5,29,5,Education,Problem-solving,Spanish
193,Female,19,Arts,42,3,12,6,Project Management,Teamwork,Chinese
194,Female,23,Arts,50,3,18,6,Computer Science,Time Management,Chinese
195,Male,24,Arts,84,4,12,9,Accountancy,Decision-making,German
196,Female,22,Science,65,4,24,2,Arts,Patience,English
197,Female,20,Arts,67,2,21,10,Medical Doctor,Communication,French
198,Male,24,Literature,74,2,26,7,Medical Doctor,Analytical,French
199,Male,18,Science,48,4,10,4,Law,Analytical,Chinese
200,Female,24,Economy,43,4,15,8,Project Management,Leadership,French
201,Female,24,Science,50,1,21,7,Arts,Time Management,Spanish
202,Female,19,Technology,84,1,21,1,Medical Doctor,Critical Thinking,Chinese
203,Female,24,Science,85,1,30,3,Education,Leadership,French
204,Male,22,Arts,46,4,27,9,Accountancy,Teamwork,French
205,Female,18,Science,72,4,12,5,Computer Science,Patience,German
206,Male,19,Technology,40,2,12,2,Project Management,Time Management,German
207,Female,19,Arts,74,0,18,9,Computer Science,Critical Thinking,Spanish
208,Female,18,Economy,63,1,26,9,Law,Problem-solving,Chinese
209,Female,20,Literature,52,2,18,2,Arts,Negotiation,English
210,Male,22,Technology,85,0,16,10,Education,Research,Chinese
211,Female,18,Science,78,5,11,9,Law,Communication,German
212,Female,22,Literature,55,3,11,4,Arts,Problem-solving,English
213,Female,18,Technology,68,1,12,9,Law,Time Management,German
214,Male,18,Arts,64,2,24,1,Education,Critical Thinking,German
215,Male,19,Economy,86,5,16,10,Accountancy,Adaptability,German
216,Male,19,Science,90,2,19,9,Accountancy,Leadership,Spanish
217,Male,21,Arts,98,5,17,8,Computer Science,Empathy,Spanish
218,Male,21,Literature,82,3,28,8,Medical Doctor,Negotiation,English
219,Female,19,Science,52,5,12,5,Medical Doctor,Teamwork,English
220,Female,19,Science,95,0,26,8,Medical Doctor,Problem-solving,English
221,Female,19,Science,54,3,19,3,Medical Doctor,Leadership,German
222,Male,24,Arts,43,4,23,7,Project Management,Communication,Spanish
223,Female,23,Economy,68,5,20,5,Arts,Decision-making,French
224,Female,19,Arts,93,0,22,7,Accountancy,Analytical,Spanish
225,Male,20,Arts,48,3,28,8,Education,Negotiation,German
226,Male,24,Arts,100,3,14,3,Medical Doctor,Analytical,English
227,Female,23,Economy,78,0,10,6,Computer Science,Empathy,German
228,Male,20,Technology,82,4,30,10,Project Management,Leadership,German
229,Female,18,Technology,96,4,11,5,Policy,Critical Thinking,Chinese
230,Male,23,Science,52,1,27,1,Accountancy,Patience,Chinese
231,Male,18,Literature,72,0,30,8,Arts,Creativity,Spanish
232,Male,20,Science,96,5,24,4,Arts,Critical Thinking,German
233,Female,21,Literature,87,1,23,9,Computer Science,Creativity,German
234,Male,19,Technology,88,2,20,6,Education,Adaptability,Chinese
235,Female,23,Economy,64,0,29,7,Accountancy,Decision-making,French
236,Male,18,Technology,47,4,19,9,Accountancy,Critical Thinking,English
237,Female,18,Arts,60,4,16,7,Medical Doctor,Patience,English
238,Female,18,Economy,40,2,23,3,Medical Doctor,Teamwork,German
239,Female,21,Technology,83,4,12,8,Project Management,Adaptability,Spanish
240,Male,23,Literature,46,5,12,4,Arts,Research,English
241,Female,18,Arts,79,2,13,2,Medical Doctor,Analytical,Spanish
242,Female,22,Economy,84,1,28,5,Law,Empathy,German
243,Female,22,Arts,80,4,13,10,Arts,Research,English
244,Male,20,Economy,52,2,14,10,Computer Science,Teamwork,German
245,Female,23,Science,68,5,23,2,Arts,Critical Thinking,French
246,Female,20,Arts,70,1,17,10,Medical Doctor,Empathy,Chinese
247,Male,20,Technology,42,4,30,6,Policy,Time Management,German
248,Male,22,Science,40,3,26,3,Computer Science,Creativity,Spanish
249,Male,24,Science,44,3,27,9,Education,Decision-making,French
250,Male,18,Arts,89,0,13,9,Arts,Negotiation,Spanish
251,Female,18,Arts,63,0,23,2,Accountancy,Research,French
252,Male,20,Economy,62,1,24,1,Computer Science,Negotiation,French
253,Female,21,Literature,83,4,10,10,Education,Critical Thinking,Chinese
254,Female,23,Economy,46,1,18,4,Accountancy,Patience,French
255,Male,23,Technology,87,3,23,2,Project Management,Critical Thinking,German
256,Male,23,Technology,51,5,21,9,Medical Doctor,Empathy,Chinese
257,Male,18,Technology,70,3,15,5,Medical Doctor,Decision-making,German
258,Male,21,Science,60,4,11,2,Arts,Decision-making,German
259,Female,18,Science,40,0,10,4,Policy,Time Management,French
260,Female,19,Literature,95,1,25,1,Policy,Critical Thinking,German
261,Female,21,Science,81,2,12,4,Accountancy,Time Management,Spanish
262,Female,22,Literature,76,0,29,7,Arts,Research,German
263,Female,24,Science,100,2,23,10,Education,Research,German
264,Male,19,Science,99,2,23,5,Project Management,Time Management,Chinese
265,Male,22,Economy,76,1,21,10,Computer Science,Research,Spanish
266,Male,24,Science,81,3,11,6,Arts,Leadership,Spanish
267,Male,23,Science,83,2,26,7,Project Management,Problem-solving,Chinese
268,Female,24,Economy,97,0,23,8,Computer Science,Decision-making,Chinese
269,Female,18,Arts,88,4,19,8,Law,Empathy,French
270,Female,20,Arts,74,5,26,8,Computer Science,Adaptability,French
271,Male,19,Science,51,5,17,5,Education,Adaptability,Chinese
272,Female,19,Arts,87,2,30,5,Policy,Analytical,Spanish
273,Female,20,Economy,63,5,27,8,Project Management,Critical Thinking,Spanish
274,Female,21,Arts,90,5,21,9,Arts,Patience,German
275,Female,24,Technology,82,4,22,3,Education,Creativity,French
276,Male,19,Economy,63,4,29,9,Medical Doctor,Critical Thinking,Chinese
277,Female,18,Arts,86,5,10,8,Law,Decision-making,Spanish
278,Male,20,Technology,52,3,14,3,Education,Time Management,French
279,Male,20,Economy,41,1,13,6,Accountancy,Negotiation,English
280,Female,18,Technology,74,1,24,4,Arts,Teamwork,German
281,Female,22,Literature,87,1,20,8,Law,Empathy,English
282,Female,23,Arts,86,0,16,1,Law,Problem-solving,French
283,Female,23,Science,75,1,26,5,Education,Decision-making,Chinese
284,Male,20,Economy,40,0,25,2,Medical Doctor,Problem-solving,French
285,Female,21,Science,66,1,13,8,Computer Science,Decision-making,German
286,Male,18,Literature,82,1,13,6,Computer Science,Research,Chinese
287,Female,18,Arts,70,3,12,9,Policy,Adaptability,German
288,Female,19,Literature,67,5,28,1,Policy,Teamwork,German
289,Female,21,Science,81,5,23,7,Accountancy,Problem-solving,German
290,Male,19,Science,96,5,17,5,Project Management,Communication,French
291,Female,22,Technology,47,5,15,2,Law,Empathy,English
292,Female,21,Arts,54,3,27,4,Medical Doctor,Adaptability,Chinese
293,Male,21,Arts,72,5,21,9,Accountancy,Leadership,Chinese
294,Male,22,Science,73,1,20,7,Policy,Patience,Spanish
295,Male,22,Arts,41,4,14,4,Education,Adaptability,Spanish
296,Female,23,Literature,91,3,27,5,Computer Science,Problem-solving,German
297,Female,19,Science,74,3,28,3,Project Management,Communication,French
298,Male,24,Arts,72,2,28,4,Arts,Problem-solving,Spanish
299,Male,22,Arts,67,2,12,4,Arts,Empathy,Spanish
300,Male,21,Arts,52,3,24,6,Policy,Leadership,Spanish
301,Female,20,Science,71,4,12,4,Project Management,Decision-making,German
302,Female,18,Science,62,2,19,4,Law,Empathy,Chinese
303,Male,20,Economy,92,5,22,6,Project Management,Problem-solving,French
304,Female,18,Science,54,2,10,10,Accountancy,Empathy,Spanish
305,Female,20,Arts,79,4,23,5,Accountancy,Leadership,Chinese
306,Male,22,Literature,57,3,16,7,Accountancy,Critical Thinking,Spanish
307,Female,23,Economy,51,4,11,5,Accountancy,Adaptability,English
308,Male,24,Arts,86,0,13,6,Policy,Teamwork,Spanish
309,Male,24,Science,69,3,26,10,Education,Leadership,Spanish
310,Male,24,Literature,94,5,18,3,Medical Doctor,Problem-solving,German
311,Male,19,Literature,77,4,22,3,Medical Doctor,Decision-making,Spanish
312,Female,22,Technology,97,4,20,8,Medical Doctor,Problem-solving,French
313,Female,21,Economy,88,4,18,2,Policy,Empathy,English
314,Male,24,Science,74,4,23,4,Medical Doctor,Analytical,French
315,Female,19,Literature,46,4,26,1,Accountancy,Patience,Spanish
316,Female,22,Economy,84,1,26,4,Law,Analytical,French
317,Male,18,Economy,54,1,17,10,Project Management,Teamwork,Chinese
318,Female,21,Arts,97,0,13,10,Accountancy,Problem-solving,German
319,Male,22,Science,83,2,12,1,Accountancy,Creativity,Chinese
320,Female,23,Arts,89,4,21,4,Policy,Adaptability,English
321,Female,19,Technology,95,4,28,1,Project Management,Research,English
322,Male,24,Arts,48,5,27,3,Computer Science,Critical Thinking,English
323,Male,21,Literature,78,2,29,2,Accountancy,Patience,French
324,Female,24,Technology,79,5,26,10,Law,Empathy,Spanish
325,Male,22,Economy,61,3,14,6,Accountancy,Research,English
326,Female,23,Technology,71,1,24,5,Computer Science,Negotiation,French
327,Female,18,Arts,93,0,19,10,Project Management,Empathy,English
328,Female,21,Arts,71,2,10,6,Medical Doctor,Analytical,French
329,Male,18,Science,71,4,10,10,Accountancy,Adaptability,German
330,Female,24,Literature,50,1,22,3,Education,Time Management,German
331,Female,20,Arts,92,5,17,4,Computer Science,Empathy,Spanish
332,Male,24,Economy,46,2,21,7,Policy,Patience,German
333,Female,20,Science,95,1,26,10,Education,Problem-solving,German
334,Male,22,Arts,75,0,10,8,Medical Doctor,Decision-making,German
335,Female,19,Economy,44,3,22,2,Computer Science,Negotiation,German
336,Female,24,Arts,91,1,15,1,Project Management,Critical Thinking,Spanish
337,Male,22,Literature,65,3,25,7,Project Management,Creativity,Spanish
338,Male,20,Technology,85,5,22,10,Computer Science,Leadership,Spanish
339,Male,18,Science,53,5,27,4,Medical Doctor,Teamwork,English
340,Male,20,Science,40,3,16,9,Accountancy,Research,English
341,Female,22,Economy,78,1,27,1,Project Management,Teamwork,Chinese
342,Male,19,Arts,87,2,30,6,Computer Science,Adaptability,German
343,Female,20,Economy,73,5,10,3,Education,Creativity,English
344,Male,19,Science,51,5,18,10,Accountancy,Patience,German
345,Female,18,Arts,48,1,19,9,Law,Adaptability,Spanish
346,Male,21,Science,40,1,20,4,Arts,Research,English
347,Male,19,Science,75,1,20,2,Arts,Time Management,Chinese
348,Male,21,Science,50,0,29,1,Law,Time Management,Chinese
349,Female,19,Arts,91,5,18,4,Arts,Negotiation,French
350,Male,24,Arts,70,2,26,9,Project Management,Decision-making,English
351,Female,20,Science,74,4,27,8,Computer Science,Negotiation,Spanish
352,Female,22,Arts,90,0,11,6,Computer Science,Analytical,Chinese
353,Male,24,Literature,45,0,27,1,Education,Decision-making,French
354,Male,19,Science,68,4,25,4,Computer Science,Research,Spanish
355,Male,21,Technology,99,0,20,9,Policy,Research,Chinese
356,Male,24,Technology,95,5,11,6,Policy,Negotiation,German
357,Female,19,Technology,96,1,28,2,Policy,Teamwork,Chinese
358,Female,23,Science,92,0,22,5,Computer Science,Decision-making,English
359,Male,18,Literature,44,2,12,9,Project Management,Creativity,Chinese
360,Male,23,Arts,76,4,23,5,Medical Doctor,Decision-making,English
361,Male,19,Economy,45,2,18,8,Project Management,Empathy,German
362,Male,24,Technology,55,2,20,10,Law,Leadership,English
363,Male,24,Literature,96,4,24,2,Law,Analytical,Spanish
364,Female,22,Arts,67,4,16,3,Law,Research,Chinese
365,Female,24,Literature,90,2,15,9,Project Management,Leadership,Chinese
366,Male,18,Economy,57,0,16,6,Education,Time Management,Spanish
367,Male,23,Arts,82,4,13,4,Project Management,Creativity,English
368,Male,18,Literature,42,5,22,5,Policy,Time Management,French
369,Female,23,Literature,57,1,26,3,Law,Empathy,English
370,Female,23,Economy,90,5,16,8,Accountancy,Critical Thinking,English
371,Female,22,Arts,60,1,25,1,Computer Science,Leadership,Chinese
372,Female,22,Arts,72,4,19,6,Medical Doctor,Empathy,German
373,Male,24,Literature,88,0,14,2,Arts,Analytical,Chinese
374,Female,24,Literature,61,4,30,5,Computer Science,Leadership,Spanish
375,Male,22,Technology,97,2,28,5,Computer Science,Negotiation,Spanish
376,Male,18,Technology,78,2,14,4,Law,Communication,German
377,Female,21,Science,59,3,28,1,Arts,Creativity,Chinese
378,Female,18,Arts,86,3,28,10,Arts,Patience,Spanish
379,Male,21,Literature,99,1,12,6,Medical Doctor,Creativity,Chinese
380,Female,22,Technology,91,5,26,6,Accountancy,Teamwork,Chinese
381,Female,24,Economy,86,4,20,5,Law,Negotiation,Chinese
382,Female,21,Arts,86,4,22,6,Arts,Negotiation,French
383,Female,24,Arts,44,2,12,3,Law,Creativity,Spanish
384,Female,24,Economy,66,5,15,8,Accountancy,Problem-solving,English
385,Female,22,Literature,84,0,25,9,Arts,Critical Thinking,English
386,Male,23,Literature,88,1,30,8,Arts,Communication,French
387,Female,22,Literature,88,0,28,10,Computer Science,Time Management,German
388,Female,21,Economy,46,3,29,9,Accountancy,Communication,German
389,Male,19,Science,45,1,17,2,Education,Decision-making,Chinese
390,Male,19,Arts,44,5,18,1,Arts,Teamwork,Spanish
391,Female,20,Economy,73,2,21,2,Arts,Analytical,Chinese
392,Female,18,Economy,40,4,26,4,Law,Adaptability,English
393,Female,18,Science,45,4,16,2,Accountancy,Research,Chinese
394,Female,23,Economy,44,0,12,9,Accountancy,Leadership,French
395,Male,24,Arts,74,4,28,7,Accountancy,Communication,German
396,Male,22,Literature,81,3,25,2,Computer Science,Adaptability,Chinese
397,Male,20,Economy,58,1,21,1,Law,Patience,French
398,Male,19,Technology,65,3,13,10,Project Management,Teamwork,French
399,Male,24,Technology,64,3,18,5,Project Management,Creativity,French
400,Female,23,Arts,64,5,11,8,Project Management,Patience,Chinese
401,Female,18,Economy,66,5,23,7,Medical Doctor,Adaptability,French
402,Male,18,Economy,90,4,11,7,Medical Doctor,Negotiation,English
403,Female,18,Science,98,2,28,1,Law,Decision-making,French
404,Female,22,Literature,58,1,14,7,Project Management,Communication,German
405,Male,22,Technology,41,2,30,4,Project Management,Decision-making,German
406,Female,20,Technology,100,4,18,4,Accountancy,Creativity,German
407,Female,18,Literature,66,4,17,6,Law,Adaptability,English
408,Male,24,Technology,57,1,11,5,Medical Doctor,Patience,Chinese
409,Female,24,Science,40,3,29,5,Arts,Analytical,German
410,Male,20,Technology,98,3,12,2,Arts,Adaptability,Spanish
411,Female,23,Technology,83,0,21,1,Policy,Empathy,Chinese
412,Female,24,Literature,52,1,24,3,Medical Doctor,Communication,Chinese
413,Male,20,Science,71,5,13,10,Policy,Problem-solving,French
414,Male,19,Arts,72,0,28,1,Computer Science,Communication,Spanish
415,Female,18,Science,61,5,30,6,Education,Problem-solving,German
416,Male,18,Arts,45,5,25,2,Project Management,Patience,English
417,Female,21,Technology,98,2,15,6,Computer Science,Critical Thinking,Spanish
418,Male,23,Arts,98,2,26,9,Education,Empathy,Chinese
419,Female,19,Economy,51,3,26,10,Medical Doctor,Teamwork,Chinese
420,Female,21,Arts,78,1,28,5,Policy,Critical Thinking,English
421,Male,19,Literature,73,2,20,7,Arts,Creativity,French
422,Female,18,Technology,86,2,29,8,Arts,Critical Thinking,French
423,Female,22,Economy,71,0,15,4,Education,Creativity,French
424,Female,23,Arts,99,5,14,5,Computer Science,Patience,Chinese
425,Male,24,Economy,43,3,23,8,Accountancy,Negotiation,Spanish
426,Male,22,Technology,79,5,18,1,Education,Empathy,French
427,Female,22,Economy,42,2,11,7,Project Management,Critical Thinking,French
428,Female,23,Science,59,1,25,3,Education,Problem-solving,English
429,Female,19,Science,44,3,20,7,Education,Patience,English
